number,title,difficulty,tags,question,code
,Longest Consecutive Sequence,Medium,Array & Hashing,"Longest Consecutive Sequence
Solved 
Given an array of integers nums, return the length of the longest consecutive sequence of elements that can be formed.

A consecutive sequence is a sequence of elements in which each element is exactly 1 greater than the previous element. The elements do not have to be consecutive in the original array.

You must write an algorithm that runs in O(n) time.

Example 1:

Input: nums = [2,20,4,10,3,4,5]

Output: 4
Explanation: The longest consecutive sequence is [2, 3, 4, 5].

Example 2:

Input: nums = [0,3,2,5,4,6,1,1]

Output: 7
Constraints:

0 <= nums.length <= 1000
-10^9 <= nums[i] <= 10^9","# class Solution:
#     def longestConsecutive(self, nums: List[int]) -> int:
#         dic = defaultdict(int)

#         for i in range(len(nums)):
#             val = nums[i]
#             if nums[i] - 1  in dic.keys():
#                 dic[nums[i]] = max (dic[nums[i]], dic[nums[i] - 1]+1)
#             else:
#                 dic[nums[i]] = 1
#         return max(dic.values())
import heapq
class Solution:
    def longestConsecutive(self, nums: List[int]) -> int:
        if len(nums) <= 1:
            return len(nums)
        dic = defaultdict(int)
        
        keys_list = []
        for i in range(len(nums)):
            val = nums[i]
            dic[val] = 1
            heapq.heappush(keys_list, val)
        
        for i in range(len(keys_list)):
            key = heapq.heappop(keys_list)
            dic[key] = max(dic[key], dic[key-1]+1)
        
        return max(dic.values())
            "
,Valid Palindrome,Easy,Two Pointer,"Valid Palindrome
Solved 
Given a string s, return true if it is a palindrome, otherwise return false.

A palindrome is a string that reads the same forward and backward. It is also case-insensitive and ignores all non-alphanumeric characters.

Note: Alphanumeric characters consist of letters (A-Z, a-z) and numbers (0-9).

Example 1:

Input: s = ""Was it a car or a cat I saw?""

Output: true
Explanation: After considering only alphanumerical characters we have ""wasitacaroracatisaw"", which is a palindrome.

Example 2:

Input: s = ""tab a cat""

Output: false
Explanation: ""tabacat"" is not a palindrome.

Constraints:

1 <= s.length <= 1000
s is made up of only printable ASCII characters.","class Solution:
    def isPalindrome(self, s: str) -> bool:
        left = 0
        right = len(s) -1
        s = s.lower()

        while left < right:
            print(f""s[left]: {s[left]}, s[left].isalnum(): {s[left].isalnum()}"")
            if s[left].isalnum() == False:
                left +=1
                continue
            print(f""s[right]: {s[right]}, s[right].isalnum(): {s[right].isalnum()}"")
            if s[right].isalnum() == False:
                right -=1
                continue
            if s[left] != s[right]:
                return False
            left +=1
            right -=1
        
        return True"
,Two Integer Sum II,Medium,Two Pointer,"Two Integer Sum II
Solved 
Given an array of integers numbers that is sorted in non-decreasing order.

Return the indices (1-indexed) of two numbers, [index1, index2], such that they add up to a given target number target and index1 < index2. Note that index1 and index2 cannot be equal, therefore you may not use the same element twice.

There will always be exactly one valid solution.

Your solution must use 
O
(
1
)
O(1) additional space.

Example 1:

Input: numbers = [1,2,3,4], target = 3

Output: [1,2]
Explanation:
The sum of 1 and 2 is 3. Since we are assuming a 1-indexed array, index1 = 1, index2 = 2. We return [1, 2].

Constraints:

2 <= numbers.length <= 1000
-1000 <= numbers[i] <= 1000
-1000 <= target <= 1000","class Solution:
    def twoSum(self, numbers: List[int], target: int) -> List[int]:

        left = 0
        right = len(numbers)-1
        

        while left < right:
            total = numbers[left] + numbers[right]
            if total == target:
                return [left+1, right+1]

            if total < target:
                left += 1
            
            if total > target:
                right -= 1
        
        return [-1,-1]
        "
,3Sum,Medium,Two Pointer,"3Sum
Solved 
Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] where nums[i] + nums[j] + nums[k] == 0, and the indices i, j and k are all distinct.

The output should not contain any duplicate triplets. You may return the output and the triplets in any order.

Example 1:

Input: nums = [-1,0,1,2,-1,-4]

Output: [[-1,-1,2],[-1,0,1]]
Explanation:
nums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0.
nums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0.
nums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0.
The distinct triplets are [-1,0,1] and [-1,-1,2].

Example 2:

Input: nums = [0,1,1]

Output: []
Explanation: The only possible triplet does not sum up to 0.

Example 3:

Input: nums = [0,0,0]

Output: [[0,0,0]]
Explanation: The only possible triplet sums up to 0.

Constraints:

3 <= nums.length <= 1000
-10^5 <= nums[i] <= 10^5","class Solution:
    def threeSum(self, nums: List[int]) -> List[List[int]]:
        
        nums.sort()
        ans = []
        for i in range(len(nums)-2):
            left = i + 1
            right = len(nums)-1
            if nums[i] > 0:
                break
            if i > 0 and nums[i] == nums[i-1]:
                continue

            while left < right:
                total = nums[i] + nums[left] + nums[right]

                if total < 0:
                    left += 1
                elif total > 0:
                    right -= 1
                else :
                    ans.append([nums[i], nums[left], nums[right]])
                    left += 1
                    right -= 1
                    
                    while nums[left] == nums[left-1] and left < right:
                        left += 1
                
                
            
        return ans

        "
,4Sum,Medium,Array & Hashing,"4Sum
Solved
Medium
Topics
premium lock icon
Companies
Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that:

0 <= a, b, c, d < n
a, b, c, and d are distinct.
nums[a] + nums[b] + nums[c] + nums[d] == target
You may return the answer in any order.

 

Example 1:

Input: nums = [1,0,-1,0,-2,2], target = 0
Output: [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]
Example 2:

Input: nums = [2,2,2,2,2], target = 8
Output: [[2,2,2,2]]
 

Constraints:

1 <= nums.length <= 200
-109 <= nums[i] <= 109
-109 <= target <= 109","class Solution:
    def fourSum(self, nums: List[int], target: int) -> List[List[int]]:
        nums.sort()
        n = len(nums)

        res = set([])

        for i in range(n-3):
            if i>0 and nums[i] == nums[i-1]:
                continue
            for j in range(i+1, n-2):
                if j>i+1 and nums[j] == nums[j-1]:
                    continue
                left = j + 1
                right = n-1

                while left < right:
                    total = nums[i] + nums[j] + nums[left] + nums[right]

                    if total == target:
                         res.add((nums[i], nums[j], nums[left], nums[right]))
                         left += 1
                    elif total < target:
                        left += 1
                    else:
                        right -= 1
        ans = []
        for p in res:
            ans.append(list(p))
        return ans
        "
,Rotate Array,Medium,Array & Hashing,"Rotate Array
Solved
Medium
Topics
premium lock icon
Companies
Hint
Given an integer array nums, rotate the array to the right by k steps, where k is non-negative.

 

Example 1:

Input: nums = [1,2,3,4,5,6,7], k = 3
Output: [5,6,7,1,2,3,4]
Explanation:
rotate 1 steps to the right: [7,1,2,3,4,5,6]
rotate 2 steps to the right: [6,7,1,2,3,4,5]
rotate 3 steps to the right: [5,6,7,1,2,3,4]
Example 2:

Input: nums = [-1,-100,3,99], k = 2
Output: [3,99,-1,-100]
Explanation: 
rotate 1 steps to the right: [99,-1,-100,3]
rotate 2 steps to the right: [3,99,-1,-100]
 

Constraints:

1 <= nums.length <= 105
-231 <= nums[i] <= 231 - 1
0 <= k <= 105","class Solution:
    def rotate(self, nums: List[int], k: int) -> None:
        """"""
        Do not return anything, modify nums in-place instead.
        """"""

        k = k % len(nums)

        def reverse(left, right):
            while left < right:
                nums[left], nums[right] = nums[right], nums[left]
                left+=1
                right-= 1
            
            return

        reverse(0, len(nums)-1)
        reverse(0, k-1)
        reverse(k, len(nums)-1)
        
        return nums
        "
,Container With Most Water,Medium,Two Pointer,"Container With Most Water
Solved 
You are given an integer array heights where heights[i] represents the height of the 
i
t
h
i 
th
  bar.

You may choose any two bars to form a container. Return the maximum amount of water a container can store.

Example 1:



Input: height = [1,7,2,5,4,7,3,6]

Output: 36
Example 2:

Input: height = [2,2,2]

Output: 4
Constraints:

2 <= height.length <= 1000
0 <= height[i] <= 1000","class Solution:
    def maxArea(self, heights: List[int]) -> int:
        left = 0
        right = len(heights) - 1

        area = 0
        while left < right:
            lh = heights[left]
            rh = heights[right]
            area = max(area, min(lh, rh) * (right-left))

            if lh <= rh:
                left += 1
            else:
                right -= 1
        
        return area"
,Boats to Save People,Medium,Two Pointer,"Boats to Save People
Solved
Medium
Topics
premium lock icon
Companies
You are given an array people where people[i] is the weight of the ith person, and an infinite number of boats where each boat can carry a maximum weight of limit. Each boat carries at most two people at the same time, provided the sum of the weight of those people is at most limit.

Return the minimum number of boats to carry every given person.

 

Example 1:

Input: people = [1,2], limit = 3
Output: 1
Explanation: 1 boat (1, 2)
Example 2:

Input: people = [3,2,2,1], limit = 3
Output: 3
Explanation: 3 boats (1, 2), (2) and (3)
Example 3:

Input: people = [3,5,3,4], limit = 5
Output: 4
Explanation: 4 boats (3), (3), (4), (5)
 

Constraints:

1 <= people.length <= 5 * 104
1 <= people[i] <= limit <= 3 * 104","class Solution:
    def numRescueBoats(self, people: List[int], limit: int) -> int:
        people.sort()

        left = 0
        right = len(people) -1
        boat = 0

        while left < right:
            total_weight = people[left] + people[right]

            if total_weight > limit:
                right -= 1  
            else:
                left += 1
                right -= 1
            
            boat += 1
        if left == right:
            boat += 1
        return boat"
,Trapping Rain Water,Hard,Two Pointer,"Trapping Rain Water
Solved 
You are given an array of non-negative integers height which represent an elevation map. Each value height[i] represents the height of a bar, which has a width of 1.

Return the maximum area of water that can be trapped between the bars.

Example 1:



Input: height = [0,2,0,3,1,0,1,3,2,1]

Output: 9
Constraints:

1 <= height.length <= 1000
0 <= height[i] <= 1000","class Solution:
    def trap(self, height: List[int]) -> int:
        
        left = 0
        right = len(height) - 1

        max_l = 0
        max_r = len(height) - 1
        area = 0
# height=[0,1,0,2,1,0,1,3,2,1,2,1]
#        1
#    1   11 1
# _1_11_111111
        while left < right:
            print(f""left: {left}, max_l: {max_l}, height[left]: {height[left]}, height[max_l]: {height[max_l]}"")
            print(f""right: {right}, max_r: {max_r}, height[right]: {height[right]}, height[max_r]: {height[max_r]}"")
            print(f""area before: {area}"")

            if height[left] >= height[max_l]:
                max_l = left
            else:
                area += (height[max_l] - height[left])

            
            if height[right] >= height[max_r]:
                max_r = right
            else:
                area += (height[max_r] - height[right])
            print(f""area after: {area}\n\n"")

            if height[max_l] <= height[max_r]:
                left += 1
            else:
                right -= 1
        
        return area
            "
,Best Time to Buy and Sell Stock,Easy,Sliding Window,"Best Time to Buy and Sell Stock
Solved 
You are given an integer array prices where prices[i] is the price of NeetCoin on the ith day.

You may choose a single day to buy one NeetCoin and choose a different day in the future to sell it.

Return the maximum profit you can achieve. You may choose to not make any transactions, in which case the profit would be 0.

Example 1:

Input: prices = [10,1,5,6,7,1]

Output: 6
Explanation: Buy prices[1] and sell prices[4], profit = 7 - 1 = 6.

Example 2:

Input: prices = [10,8,7,5,2]

Output: 0
Explanation: No profitable transactions can be made, thus the max profit is 0.

Constraints:

1 <= prices.length <= 100
0 <= prices[i] <= 100","class Solution:
    def maxProfit(self, prices: List[int]) -> int:
        left = 0
        right = 0

        profit = 0

        while right < len(prices):
            pl = prices[left]
            pr = prices[right]

            profit = max(profit, (pr - pl))
            if pr < pl:
                left = right
            
            right += 1
        
        return profit"
,Longest Substring Without Repeating Characters,Medium,Sliding Window,"Longest Substring Without Repeating Characters
Solved 
Given a string s, find the length of the longest substring without duplicate characters.

A substring is a contiguous sequence of characters within a string.

Example 1:

Input: s = ""zxyzxyz""

Output: 3
Explanation: The string ""xyz"" is the longest without duplicate characters.

Example 2:

Input: s = ""xxxx""

Output: 1
Constraints:

0 <= s.length <= 1000
s may consist of printable ASCII characters.","class Solution:
    def lengthOfLongestSubstring(self, s: str) -> int:
        alpha = defaultdict(lambda: -1)

        left = 0
        right = 0

        max_length = 0
        while right < len(s):
            letter = s[right]

            if alpha[letter] == -1:
                alpha[letter] = right
            else:
                left = max(left, alpha[letter] + 1)
                alpha[letter] = right
            print(f""left: {left}, right: {right}, (right - left): {(right - left)}, max_length: {max_length}"")
            max_length = max(max_length, (right - left) + 1)
            print(f""left: {left}, right: {right}, (right - left): {(right - left)}, max_length: {max_length}"")

            right += 1
        
        return max_length"
,Longest Repeating Character Replacement,Medium,Sliding Window,"Longest Repeating Character Replacement
Solved 
You are given a string s consisting of only uppercase english characters and an integer k. You can choose up to k characters of the string and replace them with any other uppercase English character.

After performing at most k replacements, return the length of the longest substring which contains only one distinct character.

Example 1:

Input: s = ""XYYX"", k = 2

Output: 4
Explanation: Either replace the 'X's with 'Y's, or replace the 'Y's with 'X's.

Example 2:

Input: s = ""AAABABB"", k = 1

Output: 5
Constraints:

1 <= s.length <= 1000
0 <= k <= s.length","class Solution:
    def characterReplacement(self, s: str, k: int) -> int:
        
        count = defaultdict(int)
        left = 0
        right = 0
        max_length = 0

        while right < len(s):
            r_letter = s[right]

            count[r_letter] += 1

            # loop to check if we exceed used replacements
            # length of window minus most frequent character occurance
            # the remainder letters need to be replaced
            # if exceed move the left pointer and keep the count of the window

            while (right - left + 1) - max(count.values()) > k:
                l_letter = s[left]

                count[l_letter] -= 1
                left += 1
            
            # now a valid window, check if it is the largest size window
            max_length = max(max_length, (right - left) + 1)
            right += 1
        
        return max_length
"
,Permutation in String,Medium,Sliding Window,"Permutation in String
Solved 
You are given two strings s1 and s2.

Return true if s2 contains a permutation of s1, or false otherwise. That means if a permutation of s1 exists as a substring of s2, then return true.

Both strings only contain lowercase letters.

Example 1:

Input: s1 = ""abc"", s2 = ""lecabee""

Output: true
Explanation: The substring ""cab"" is a permutation of ""abc"" and is present in ""lecabee"".

Example 2:

Input: s1 = ""abc"", s2 = ""lecaabee""

Output: false
Constraints:

1 <= s1.length, s2.length <= 1000","# class Solution:
#     def checkInclusion(self, s1: str, s2: str) -> bool:
#         n = len(s1)
#         word_dic = defaultdict(int)

#         for letter in s1:
#             word_dic[letter] += 1
        
#         def check_solutions(word_dic, s):
#             for letter in s:
#                 if word_dic[letter] != 0:
#                     return False
#             return True
        
#         left = 0
#         right = 0
#         word_dic[s2[right]] -= 1


#         while right < len(s2):
#             print(f""s1: {s1}, s2: {s2[left:right+1]}"")
#             if right - left + 1 == len(s1):
#                 print(f""word_dic: {word_dic}"")
#                 if check_solutions(word_dic, s1):
#                     return True
#                 right += 1
#                 if right  >= len(s2):
#                     return False
#                 letter_add = s2[right]
#                 letter_removed = s2[left]
#                 word_dic[letter_add] -= 1
#                 word_dic[letter_removed] += 1
#                 left += 1
#             elif right - left < len(s1): 
#                 print(f""moving right pointer"")
#                 right += 1
#                 if right  >= len(s2):
#                     return False
#                 letter_add = s2[right]
#                 word_dic[letter_add] -= 1
#             else:
#                 print(f""moving left pointer"")
#                 letter_removed = s2[left]
#                 word_dic[letter_removed] += 1
#                 left += 1
        
#         return False

class Solution:
    def checkInclusion(self, s1: str, s2: str) -> bool:
        if len(s1) > len(s2):
            return False
            
        s1_dic = defaultdict(int)
        s2_dic = defaultdict(int)

        matches = 0

        for i in range(len(s1)):
            s1_dic[s1[i]] += 1
            s2_dic[s2[i]] += 1
        
        for i in range(26):
            letter = chr(ord('a') + i)
            if s1_dic[letter] == s2_dic[letter]:
                matches += 1
        
        left = 0
        right = len(s1)

        while right < len(s2):
            if matches == 26:
                return True
            
            letter_r = s2[right]
            letter_l = s2[left]

            s2_dic[letter_r] += 1
            if s2_dic[letter_r] == s1_dic[letter_r]:
                matches += 1
            elif s2_dic[letter_r]-1 == s1_dic[letter_r]:
                matches -= 1
            

            s2_dic[letter_l] -= 1
            if s2_dic[letter_l] == s1_dic[letter_l]:
                matches += 1
            elif s2_dic[letter_l]+1 == s1_dic[letter_l]:
                matches -= 1
            
            left += 1
            right += 1
        
        return matches == 26"
